Run,Task,Operation,Time,Unit,Percentage,Run type
short_S1,[1m,S1,short
short_S1,------------------------------------------------------,S1,short
short_S1,_______             __   _____,S1,short
short_S1,/ ____(_)___  ____ _/ /  / ___/_________  ________,S1,short
short_S1,/ /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \,S1,short
short_S1,/ __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/,S1,short
short_S1,/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/,S1,short
short_S1,------------------------------------------------------,S1,short
short_S1,[0m,S1,short
short_S1,Metric,Task,Value,Unit,S1,short
short_S1,---------------------------------------------------------------:,-----------------------------------------:,------------:,-------:,S1,short
short_S1,Cumulative indexing time of primary shards,2903.75,min,S1,short
short_S1,Min cumulative indexing time across primary shards,2903.75,min,S1,short
short_S1,Median cumulative indexing time across primary shards,2903.75,min,S1,short
short_S1,Max cumulative indexing time across primary shards,2903.75,min,S1,short
short_S1,Cumulative indexing throttle time of primary shards,0,min,S1,short
short_S1,Min cumulative indexing throttle time across primary shards,0,min,S1,short
short_S1,Median cumulative indexing throttle time across primary shards,0,min,S1,short
short_S1,Max cumulative indexing throttle time across primary shards,0,min,S1,short
short_S1,Cumulative merge time of primary shards,281.437,min,S1,short
short_S1,Cumulative merge count of primary shards,602,S1,short
short_S1,Min cumulative merge time across primary shards,281.437,min,S1,short
short_S1,Median cumulative merge time across primary shards,281.437,min,S1,short
short_S1,Max cumulative merge time across primary shards,281.437,min,S1,short
short_S1,Cumulative merge throttle time of primary shards,142.016,min,S1,short
short_S1,Min cumulative merge throttle time across primary shards,142.016,min,S1,short
short_S1,Median cumulative merge throttle time across primary shards,142.016,min,S1,short
short_S1,Max cumulative merge throttle time across primary shards,142.016,min,S1,short
short_S1,Cumulative refresh time of primary shards,8.47903,min,S1,short
short_S1,Cumulative refresh count of primary shards,403,S1,short
short_S1,Min cumulative refresh time across primary shards,8.47903,min,S1,short
short_S1,Median cumulative refresh time across primary shards,8.47903,min,S1,short
short_S1,Max cumulative refresh time across primary shards,8.47903,min,S1,short
short_S1,Cumulative flush time of primary shards,1.5967,min,S1,short
short_S1,Cumulative flush count of primary shards,37,S1,short
short_S1,Min cumulative flush time across primary shards,1.5967,min,S1,short
short_S1,Median cumulative flush time across primary shards,1.5967,min,S1,short
short_S1,Max cumulative flush time across primary shards,1.5967,min,S1,short
short_S1,Total Young Gen GC time,297.438,s,S1,short
short_S1,Total Young Gen GC count,12346,S1,short
short_S1,Total Old Gen GC time,0,s,S1,short
short_S1,Total Old Gen GC count,0,S1,short
short_S1,Store size,25.0973,GB,S1,short
short_S1,Translog size,5.12227e-08,GB,S1,short
short_S1,Heap used for segments,0,MB,S1,short
short_S1,Heap used for doc values,0,MB,S1,short
short_S1,Heap used for terms,0,MB,S1,short
short_S1,Heap used for norms,0,MB,S1,short
short_S1,Heap used for points,0,MB,S1,short
short_S1,Heap used for stored fields,0,MB,S1,short
short_S1,Segment count,32,S1,short
short_S1,Min Throughput,index,14670.4,docs/s,S1,short
short_S1,Mean Throughput,index,16380.4,docs/s,S1,short
short_S1,Median Throughput,index,15616.4,docs/s,S1,short
short_S1,Max Throughput,index,25577,docs/s,S1,short
short_S1,0th percentile throughput,index,14670.4,ms,S1,short
short_S1,25th percentile throughput,index,15041.6,ms,S1,short
short_S1,50th percentile throughput,index,15617.7,ms,S1,short
short_S1,75th percentile throughput,index,17082.5,ms,S1,short
short_S1,100th percentile throughput,index,25577,ms,S1,short
short_S1,0th percentile latency,index,2469.57,ms,S1,short
short_S1,10th percentile latency,index,8893.68,ms,S1,short
short_S1,20th percentile latency,index,9558.99,ms,S1,short
short_S1,25th percentile latency,index,9803.82,ms,S1,short
short_S1,30th percentile latency,index,10055.6,ms,S1,short
short_S1,40th percentile latency,index,10523.1,ms,S1,short
short_S1,50th percentile latency,index,10920.9,ms,S1,short
short_S1,60th percentile latency,index,11338.3,ms,S1,short
short_S1,70th percentile latency,index,11813.8,ms,S1,short
short_S1,75th percentile latency,index,12108.3,ms,S1,short
short_S1,80th percentile latency,index,12427.1,ms,S1,short
short_S1,90th percentile latency,index,13281.8,ms,S1,short
short_S1,99th percentile latency,index,14776.3,ms,S1,short
short_S1,99.9th percentile latency,index,15598.7,ms,S1,short
short_S1,99.99th percentile latency,index,16104.2,ms,S1,short
short_S1,100th percentile latency,index,16134.8,ms,S1,short
short_S1,50th percentile service time,index,10921.1,ms,S1,short
short_S1,90th percentile service time,index,13280.1,ms,S1,short
short_S1,99th percentile service time,index,14776.4,ms,S1,short
short_S1,99.9th percentile service time,index,15598.7,ms,S1,short
short_S1,99.99th percentile service time,index,16104.2,ms,S1,short
short_S1,100th percentile service time,index,16134.8,ms,S1,short
short_S1,error rate,index,0,%,S1,short
short_S1,Min Throughput,wait-until-merges-finish,0.02,ops/s,S1,short
short_S1,Mean Throughput,wait-until-merges-finish,0.02,ops/s,S1,short
short_S1,Median Throughput,wait-until-merges-finish,0.02,ops/s,S1,short
short_S1,Max Throughput,wait-until-merges-finish,0.02,ops/s,S1,short
short_S1,100th percentile throughput,wait-until-merges-finish,0.0174159,ms,S1,short
short_S1,100th percentile latency,wait-until-merges-finish,57418.2,ms,S1,short
short_S1,100th percentile service time,wait-until-merges-finish,57418.2,ms,S1,short
short_S1,error rate,wait-until-merges-finish,0,%,S1,short
short_S1,Min Throughput,cheap-tip-amount,6,ops/s,S1,short
short_S1,Mean Throughput,cheap-tip-amount,6,ops/s,S1,short
short_S1,Median Throughput,cheap-tip-amount,6,ops/s,S1,short
short_S1,Max Throughput,cheap-tip-amount,6,ops/s,S1,short
short_S1,0th percentile throughput,cheap-tip-amount,5.99997,ms,S1,short
short_S1,25th percentile throughput,cheap-tip-amount,6,ms,S1,short
short_S1,50th percentile throughput,cheap-tip-amount,6,ms,S1,short
short_S1,75th percentile throughput,cheap-tip-amount,6,ms,S1,short
short_S1,100th percentile throughput,cheap-tip-amount,6.00001,ms,S1,short
short_S1,0th percentile latency,cheap-tip-amount,1.88159,ms,S1,short
short_S1,10th percentile latency,cheap-tip-amount,4.41344,ms,S1,short
short_S1,20th percentile latency,cheap-tip-amount,4.6687,ms,S1,short
short_S1,25th percentile latency,cheap-tip-amount,4.77352,ms,S1,short
short_S1,30th percentile latency,cheap-tip-amount,4.87463,ms,S1,short
short_S1,40th percentile latency,cheap-tip-amount,5.0658,ms,S1,short
short_S1,50th percentile latency,cheap-tip-amount,5.27964,ms,S1,short
short_S1,60th percentile latency,cheap-tip-amount,5.56555,ms,S1,short
short_S1,70th percentile latency,cheap-tip-amount,6.01957,ms,S1,short
short_S1,75th percentile latency,cheap-tip-amount,6.30749,ms,S1,short
short_S1,80th percentile latency,cheap-tip-amount,6.62921,ms,S1,short
short_S1,90th percentile latency,cheap-tip-amount,7.29612,ms,S1,short
short_S1,99th percentile latency,cheap-tip-amount,9.7371,ms,S1,short
short_S1,99.9th percentile latency,cheap-tip-amount,12.6497,ms,S1,short
short_S1,99.99th percentile latency,cheap-tip-amount,21.1773,ms,S1,short
short_S1,100th percentile latency,cheap-tip-amount,22.5761,ms,S1,short
short_S1,50th percentile service time,cheap-tip-amount,4.13333,ms,S1,short
short_S1,90th percentile service time,cheap-tip-amount,6.19595,ms,S1,short
short_S1,99th percentile service time,cheap-tip-amount,8.61092,ms,S1,short
short_S1,99.9th percentile service time,cheap-tip-amount,11.3611,ms,S1,short
short_S1,99.99th percentile service time,cheap-tip-amount,19.8781,ms,S1,short
short_S1,100th percentile service time,cheap-tip-amount,21.8978,ms,S1,short
short_S1,error rate,cheap-tip-amount,0,%,S1,short
short_S1,Min Throughput,cheap-fare-amount,6,ops/s,S1,short
short_S1,Mean Throughput,cheap-fare-amount,6,ops/s,S1,short
short_S1,Median Throughput,cheap-fare-amount,6,ops/s,S1,short
short_S1,Max Throughput,cheap-fare-amount,6,ops/s,S1,short
short_S1,0th percentile throughput,cheap-fare-amount,5.99995,ms,S1,short
short_S1,25th percentile throughput,cheap-fare-amount,6,ms,S1,short
short_S1,50th percentile throughput,cheap-fare-amount,6,ms,S1,short
short_S1,75th percentile throughput,cheap-fare-amount,6,ms,S1,short
short_S1,100th percentile throughput,cheap-fare-amount,6,ms,S1,short
short_S1,0th percentile latency,cheap-fare-amount,2.42835,ms,S1,short
short_S1,10th percentile latency,cheap-fare-amount,4.10731,ms,S1,short
short_S1,20th percentile latency,cheap-fare-amount,4.41699,ms,S1,short
short_S1,25th percentile latency,cheap-fare-amount,4.54069,ms,S1,short
short_S1,30th percentile latency,cheap-fare-amount,4.65418,ms,S1,short
short_S1,40th percentile latency,cheap-fare-amount,4.88678,ms,S1,short
short_S1,50th percentile latency,cheap-fare-amount,5.14186,ms,S1,short
short_S1,60th percentile latency,cheap-fare-amount,5.45169,ms,S1,short
short_S1,70th percentile latency,cheap-fare-amount,5.90284,ms,S1,short
short_S1,75th percentile latency,cheap-fare-amount,6.18674,ms,S1,short
short_S1,80th percentile latency,cheap-fare-amount,6.51139,ms,S1,short
short_S1,90th percentile latency,cheap-fare-amount,7.24675,ms,S1,short
short_S1,99th percentile latency,cheap-fare-amount,10.2427,ms,S1,short
short_S1,99.9th percentile latency,cheap-fare-amount,12.9183,ms,S1,short
short_S1,99.99th percentile latency,cheap-fare-amount,20.4283,ms,S1,short
short_S1,100th percentile latency,cheap-fare-amount,22.0138,ms,S1,short
short_S1,50th percentile service time,cheap-fare-amount,4.04442,ms,S1,short
short_S1,90th percentile service time,cheap-fare-amount,6.08475,ms,S1,short
short_S1,99th percentile service time,cheap-fare-amount,9.13504,ms,S1,short
short_S1,99.9th percentile service time,cheap-fare-amount,11.9025,ms,S1,short
short_S1,99.99th percentile service time,cheap-fare-amount,19.4976,ms,S1,short
short_S1,100th percentile service time,cheap-fare-amount,20.4666,ms,S1,short
short_S1,error rate,cheap-fare-amount,0,%,S1,short
short_S1,Min Throughput,cheap-total-amount,6,ops/s,S1,short
short_S1,Mean Throughput,cheap-total-amount,6,ops/s,S1,short
short_S1,Median Throughput,cheap-total-amount,6,ops/s,S1,short
short_S1,Max Throughput,cheap-total-amount,6,ops/s,S1,short
short_S1,0th percentile throughput,cheap-total-amount,5.99989,ms,S1,short
short_S1,25th percentile throughput,cheap-total-amount,5.99999,ms,S1,short
short_S1,50th percentile throughput,cheap-total-amount,5.99999,ms,S1,short
short_S1,75th percentile throughput,cheap-total-amount,6,ms,S1,short
short_S1,100th percentile throughput,cheap-total-amount,6,ms,S1,short
short_S1,0th percentile latency,cheap-total-amount,2.51745,ms,S1,short
short_S1,10th percentile latency,cheap-total-amount,4.43412,ms,S1,short
short_S1,20th percentile latency,cheap-total-amount,4.75055,ms,S1,short
short_S1,25th percentile latency,cheap-total-amount,4.88444,ms,S1,short
short_S1,30th percentile latency,cheap-total-amount,5.0107,ms,S1,short
short_S1,40th percentile latency,cheap-total-amount,5.24599,ms,S1,short
short_S1,50th percentile latency,cheap-total-amount,5.50644,ms,S1,short
short_S1,60th percentile latency,cheap-total-amount,5.80265,ms,S1,short
short_S1,70th percentile latency,cheap-total-amount,6.23916,ms,S1,short
short_S1,75th percentile latency,cheap-total-amount,6.52847,ms,S1,short
short_S1,80th percentile latency,cheap-total-amount,6.83465,ms,S1,short
short_S1,90th percentile latency,cheap-total-amount,7.55034,ms,S1,short
short_S1,99th percentile latency,cheap-total-amount,10.4274,ms,S1,short
short_S1,99.9th percentile latency,cheap-total-amount,13.5248,ms,S1,short
short_S1,99.99th percentile latency,cheap-total-amount,20.112,ms,S1,short
short_S1,100th percentile latency,cheap-total-amount,21.7262,ms,S1,short
short_S1,50th percentile service time,cheap-total-amount,4.42318,ms,S1,short
short_S1,90th percentile service time,cheap-total-amount,6.45091,ms,S1,short
short_S1,99th percentile service time,cheap-total-amount,9.29257,ms,S1,short
short_S1,99.9th percentile service time,cheap-total-amount,12.515,ms,S1,short
short_S1,99.99th percentile service time,cheap-total-amount,19.2487,ms,S1,short
short_S1,100th percentile service time,cheap-total-amount,20.8947,ms,S1,short
short_S1,error rate,cheap-total-amount,0,%,S1,short
short_S1,Min Throughput,cheap-pickup,6,ops/s,S1,short
short_S1,Mean Throughput,cheap-pickup,6,ops/s,S1,short
short_S1,Median Throughput,cheap-pickup,6,ops/s,S1,short
short_S1,Max Throughput,cheap-pickup,6,ops/s,S1,short
short_S1,0th percentile throughput,cheap-pickup,5.99986,ms,S1,short
short_S1,25th percentile throughput,cheap-pickup,5.99998,ms,S1,short
short_S1,50th percentile throughput,cheap-pickup,5.99999,ms,S1,short
short_S1,75th percentile throughput,cheap-pickup,5.99999,ms,S1,short
short_S1,100th percentile throughput,cheap-pickup,6,ms,S1,short
short_S1,0th percentile latency,cheap-pickup,3.75425,ms,S1,short
short_S1,10th percentile latency,cheap-pickup,5.49873,ms,S1,short
short_S1,20th percentile latency,cheap-pickup,5.80508,ms,S1,short
short_S1,25th percentile latency,cheap-pickup,5.92216,ms,S1,short
short_S1,30th percentile latency,cheap-pickup,6.03067,ms,S1,short
short_S1,40th percentile latency,cheap-pickup,6.23638,ms,S1,short
short_S1,50th percentile latency,cheap-pickup,6.46686,ms,S1,short
short_S1,60th percentile latency,cheap-pickup,6.71107,ms,S1,short
short_S1,70th percentile latency,cheap-pickup,7.05968,ms,S1,short
short_S1,75th percentile latency,cheap-pickup,7.32991,ms,S1,short
short_S1,80th percentile latency,cheap-pickup,7.69895,ms,S1,short
short_S1,90th percentile latency,cheap-pickup,8.63669,ms,S1,short
short_S1,99th percentile latency,cheap-pickup,10.0727,ms,S1,short
short_S1,99.9th percentile latency,cheap-pickup,12.9637,ms,S1,short
short_S1,99.99th percentile latency,cheap-pickup,20.6149,ms,S1,short
short_S1,100th percentile latency,cheap-pickup,24.0895,ms,S1,short
short_S1,50th percentile service time,cheap-pickup,5.39346,ms,S1,short
short_S1,90th percentile service time,cheap-pickup,7.53082,ms,S1,short
