|                                                 Min Throughput |                                    index |     15114.1 | docs/s |
|                                                Mean Throughput |                                    index |     16764.7 | docs/s |
|                                              Median Throughput |                                    index |     15888.1 | docs/s |
|                                                 Max Throughput |                                    index |     26779.6 | docs/s |
|                                      0th percentile throughput |                                    index |     15114.1 |     ms |
|                                     25th percentile throughput |                                    index |     15440.5 |     ms |
|                                     50th percentile throughput |                                    index |     15889.9 |     ms |
|                                     75th percentile throughput |                                    index |     17473.7 |     ms |
|                                    100th percentile throughput |                                    index |     26779.6 |     ms |
|                                         0th percentile latency |                                    index |     2327.05 |     ms |
|                                        10th percentile latency |                                    index |     8549.38 |     ms |
|                                        20th percentile latency |                                    index |     9091.21 |     ms |
|                                        25th percentile latency |                                    index |      9384.6 |     ms |
|                                        30th percentile latency |                                    index |     9638.82 |     ms |
|                                        40th percentile latency |                                    index |     10142.9 |     ms |
|                                        50th percentile latency |                                    index |     10643.5 |     ms |
|                                        60th percentile latency |                                    index |     11061.8 |     ms |
|                                        70th percentile latency |                                    index |     11491.6 |     ms |
|                                        75th percentile latency |                                    index |     11737.1 |     ms |
|                                        80th percentile latency |                                    index |     12046.3 |     ms |
|                                        90th percentile latency |                                    index |     13151.5 |     ms |
|                                        99th percentile latency |                                    index |     14717.9 |     ms |
|                                      99.9th percentile latency |                                    index |     15627.7 |     ms |
|                                     99.99th percentile latency |                                    index |     16457.5 |     ms |
|                                       100th percentile latency |                                    index |     16593.4 |     ms |
|                                   50th percentile service time |                                    index |     10642.6 |     ms |
|                                   90th percentile service time |                                    index |     13152.1 |     ms |
|                                   99th percentile service time |                                    index |     14721.5 |     ms |
|                                 99.9th percentile service time |                                    index |     15627.7 |     ms |
|                                99.99th percentile service time |                                    index |     16457.5 |     ms |
|                                  100th percentile service time |                                    index |     16593.4 |     ms |
|                                                     error rate |                                    index |           0 |      % |
|                                                 Min Throughput |                 wait-until-merges-finish |        0.02 |  ops/s |
|                                                Mean Throughput |                 wait-until-merges-finish |        0.02 |  ops/s |
|                                              Median Throughput |                 wait-until-merges-finish |        0.02 |  ops/s |
|                                                 Max Throughput |                 wait-until-merges-finish |        0.02 |  ops/s |
|                                    100th percentile throughput |                 wait-until-merges-finish |   0.0248025 |     ms |
|                                       100th percentile latency |                 wait-until-merges-finish |     40318.1 |     ms |
|                                  100th percentile service time |                 wait-until-merges-finish |     40318.1 |     ms |
