   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            [0m
|                                                         Metric |                                     Task |       Value |   Unit |
|---------------------------------------------------------------:|-----------------------------------------:|------------:|-------:|
|                     Cumulative indexing time of primary shards |                                          |     2736.94 |    min |
|             Min cumulative indexing time across primary shards |                                          |     2736.94 |    min |
|          Median cumulative indexing time across primary shards |                                          |     2736.94 |    min |
|             Max cumulative indexing time across primary shards |                                          |     2736.94 |    min |
|            Cumulative indexing throttle time of primary shards |                                          |           0 |    min |
|    Min cumulative indexing throttle time across primary shards |                                          |           0 |    min |
| Median cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|    Max cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|                        Cumulative merge time of primary shards |                                          |     270.438 |    min |
|                       Cumulative merge count of primary shards |                                          |         514 |        |
|                Min cumulative merge time across primary shards |                                          |     270.438 |    min |
|             Median cumulative merge time across primary shards |                                          |     270.438 |    min |
|                Max cumulative merge time across primary shards |                                          |     270.438 |    min |
|               Cumulative merge throttle time of primary shards |                                          |     161.581 |    min |
|       Min cumulative merge throttle time across primary shards |                                          |     161.581 |    min |
|    Median cumulative merge throttle time across primary shards |                                          |     161.581 |    min |
|       Max cumulative merge throttle time across primary shards |                                          |     161.581 |    min |
|                      Cumulative refresh time of primary shards |                                          |      7.7636 |    min |
|                     Cumulative refresh count of primary shards |                                          |         382 |        |
|              Min cumulative refresh time across primary shards |                                          |      7.7636 |    min |
|           Median cumulative refresh time across primary shards |                                          |      7.7636 |    min |
|              Max cumulative refresh time across primary shards |                                          |      7.7636 |    min |
|                        Cumulative flush time of primary shards |                                          |     1.50718 |    min |
|                       Cumulative flush count of primary shards |                                          |          36 |        |
|                Min cumulative flush time across primary shards |                                          |     1.50718 |    min |
|             Median cumulative flush time across primary shards |                                          |     1.50718 |    min |
|                Max cumulative flush time across primary shards |                                          |     1.50718 |    min |
|                                        Total Young Gen GC time |                                          |     254.808 |      s |
|                                       Total Young Gen GC count |                                          |       12513 |        |
|                                          Total Old Gen GC time |                                          |           0 |      s |
|                                         Total Old Gen GC count |                                          |           0 |        |
|                                                     Store size |                                          |     25.0514 |     GB |
